Company,Ticker
10X Genomics,TXG
23andMe,ME
8x8,EGHT
AEye,LIDR
Absci,ABSI
Adobe,ADBE
Affirm,AFRM
Airbnb,ABNB
Akamai,AKAM
Allbirds,BIRD
Alteryx,AYX
Amazon,AMZN
Amplitude,AMPL
Analog Devices,ADI
AppFolio,APPF
AppLovin,APP
Appgate,APGT
Apple,AAPL
Asana,ASAN
Autodesk,ADSK
Microsoft,MSFT
Google,GOOG
Cue Health,HLTHQ
Rivian,RIVN
Enovix,ENVX
Luminar,LRGR
Sprinklr,CXM
Bakkt,BKKT
Peloton,PTON
Assurance,NIACL.NS
Tesla,TSLA
Take-Two,TTWO
Intel,INTC
Dell,DELL
Electronic Arts,EA
Bumble,BMBL
Expedia,EXPE
Toast,TOST
Sonder,SOND.SW
Cisco,CSCO
Impinj,PI
Riskified,RSKD
SiriusXM,SIRI
Pure Storage,6PU.DU
DocuSign,DOCU
Snap,SNAP
Okta,OKTA
Zoom,ZM
Illumina,ILMN
PayPal,PYPL
Block,XYZ
Salesforce,CRM
eBay,EBAY
Vroom,VRM
GoTo,GOTO.JK
TikTok,PEANUT33916-USD
Wayfair,W
YouTube,GOOGL
Cloudflare,NET
IAC,IAC
Rent the Runway,RENT
Unity,U
NuScale Power,SMR
Xerox,XRX
Enphase Energy,ENPH
Cruise,NCLH
Etsy,ETSY
Tidal,CHAT
Chewy,CHWY
TripAdvisor,TRIP
Oportun,CFIBODCL-E.SN
Zillow,Z
F5,FFIV
Viasat,VSAT
Beyond Meat,BYND
LegalZoom,LZ
Qualcomm,QCOM
Stitch Fix,SFIX
Roblox,RBLX
Drift,DRIFT31278-USD
Roku,ROKU
Pegasystems,PEGA
Zebra Technologies,ZBRA
BlackLine,B2LN34.SA
Blend,JBBSX
Rapid7,RPD
Doximity,DOCS
Planet,PL
Wish,1465.TW
Tempo Automation,TMPOQ
Freightos,CRGO
Everquote,EVER.MX
Amdocs,AOS.F
Payoneer,PAYO
Robinhood,HOOD
Uber,UBER
Nikola,NIKO-USD
Sonos,SONO
Olo,OLOX
Western Digital,WDC
Chegg,CHGG.MX
Coherent,COHR
ZoomInfo,GTM
Outbrain,852.SG
ZipRecruiter,ZIP
DHI Group,TIPH.BK
Lemonade,LMND
Similarweb,SMWB
Twist Bioscience,TWST
Sabre,SABR
Upwork,UPWK
Dropbox,DBX
Lyft,LYFT
BuzzFeed,BZFD
Opendoor,OPEN
Medtronic,MDT
View,VRAYQ
LendingTree,T77.F
Seagate,STX
iCAD,ICADP.XC
Rackspace,RXT
Marvell,MRVL
Freshworks,FRSH
Meta,META
Samsung,005930.KS
Zscaler,ZS
CNET,CNET
Palantir,PLTR
EVgo,EVGO
TaskUs,6VY.F
Micron,MU
The RealReal,6RR.F
DigitalOcean,DOCN
Blackbaud,BNK.F
Twilio,TWLO
Yahoo,YOJ.SG
GitLab,GTLB
Bark,BARK
GoDaddy,GDDY
Pinterest,PINS
DraftKings,DKNG
Cyren,CYRNQ
NetApp,NTAP
Workday,WDAY
HubSpot,HUBS
Upstart,UPST
Groupon,GRPN
Synopsys,SNPS
IBM,IBM
Lam Research,LRCX
Guardant Health,GH
BitTorrent,BTTOLD-EUR
Capital One,COF
WeWork ,WEWORK.BO
CS Disco,LAW
Teladoc Health,TDOC
nCino,NCNO
Starry,SSEAR
RingCentral,RNG
Definitive Healthcare,DH
Intrinsic,0P0001MHNW
Coinbase,COIN
Fate Therapeutics,FATE
Cue,CUE
SoundHound,SOUN
Kaltura,KLTR
BigCommerce,BI1.DU
Viant,DSP
TechTarget,EFT0.F
Doma,CWXZF
Springbig,SBIG
DoorDash,DASH
Carvana,CVNA
UiPath,PATH
Protocol,HOOK-USD
Cardlytics,CDLX
Varonis,VRNS
Oracle,ORCL
HelloFresh,HFG.DE
BioMarin,BMRN
Spin,SPIN
Compass,CMPS
LivePerson,LVO0.F
Netflix,NFLX
Taboola,TBLA
GoodRx,GDRX
ContraFect,CFRXQ
GoHealth,GOCO
Nutanix,NTNX
Quanterix,QTRX
Warby Parker,WRBY
Latch,LTCH
Enjoy,300020.SZ
Bird,BIRD
Skillz,SKLZ
Humble,B39.F
Adaptive Biotechnologies,ADPT
Yelp,YELP
Funding Circle,FCH.L
Intuit,ISRG
StubHub,STUB
Quartz,002273.SZ
Jump,0P0001DERO.F
Rubicon Project,RUBI
Casper,CSPR-USD
CarGurus,CARG
GoPro,GPRO
Domo,DOMO
Maven,MIG5.L
Drip,DRIP
Instagram,META
Twitch,AMZN
Audible,AMZN
LinkedIn,MSFT
Waze,GOOGL
VMware,VMW
Citrix,CTXS
Qualtrics,XM
Zendesk,ZEN
Splunk,SPLK
Anaplan,PLAN
Medallia,MDLA
Smartsheet,SMAR
New Relic,NEWR
Informatica,INFA
Matterport,MTTR
Redfin,RDFN
Eventbrite,EB
Leafly,LFLY
Instacart,CART
Vacasa,VCSA
Confluent,CFLT
HashiCorp,HCP
Lucid Motors,LCID
Canoo,GOEV
Proterra,PTRA
TuSimple,TSP
Embark Trucks,EMBK
Velodyne Lidar,VLDR
Grubhub,GRUB
Lending Club,LC
TrueCar,TRUE
Brightcove,BCOV
Sumo Logic,SUMO
Thoughtworks,TWKS
Inspirato,ISPO
WalkMe,WKME
Pear Therapeutics,PEAR
Root Insurance,ROOT
Metromile,MILE
IronNet,IRNT
Integral Ad Science,IAS
EverBridge,EVBG
Momentive,MNTV
UserTesting,USER
Hippo Insurance,HIPO
Nevro,NVRO
Science 37,SNCE
Sage Therapeutics,SAGE
SecureWorks,SCWX
Invitae,NVTA
MariaDB,MRDB
Weedmaps,MAPS
NanoString Technologies,NSTG
Quanergy Systems,QNGY
Rubius,RUBY
Tufin,TUFN
ForgeRock,FORG
NextGen Healthcare,NXGN
Cerner,CERN
